역명,환승,소요시간,1001,1003,1005,1007,1009,1011,1013,1015,1017,1019,1021,1023,1025,1027,1029,1031,1033,1035,1037,1039,1041,1043,1045,1047,1049,1051,1053,1055,1057,1059,1061,1063,1065,1067,1069,1071,1073,1075,1077,1079,1081,1083,1085,1087,1089,1091,1093,1095,1097,1099,1101,1103,1105,1107,1109,1111,1113,1115,1117,1119,1121,1123,1125,1127,1129,1131,1133,1135,1137,1139,1141,1143,1145,1147,1149,1151,1153,1155,1157,1159,1161,1163,1165,1167,1169,1171,1173,1175,1177,1179,1181,1183,1185,1187,1189,1191,1193,1195,1197,1199,1201,1203,1205,1207,1209,1211,1213,1215,1217,1219,1221,1223,1225,1227,1229,1231,1233,1235,1237,1239,1241,1243,1245,1247,1249,1251,1253,1255,1257,1259,1261,1263,1265,1267,1269,1271,1273,1275,1277,1279,1281,1283,1285,1287,1289,1291,1293,1295
설화명곡,0,2,,5:25:30,5:39:00,5:51:00,6:02:00,6:12:00,6:22:00,6:31:00,6:40:00,6:48:00,6:55:00,7:01:00,7:07:00,7:13:00,7:18:00,7:23:00,7:28:00,7:33:00,7:38:00,7:43:00,7:48:00,7:53:00,7:58:00,8:03:00,8:08:00,8:13:00,8:18:00,8:23:00,8:28:00,8:33:00,8:38:00,8:43:00,8:48:00,8:53:00,8:58:00,9:04:00,9:11:00,9:18:00,9:26:00,9:34:00,9:42:00,9:50:00,9:58:00,10:06:00,10:14:00,10:22:00,10:30:00,10:38:00,10:46:00,10:54:00,11:02:00,11:10:00,11:18:00,11:26:00,11:34:00,11:42:00,11:50:00,11:58:00,12:06:00,12:14:00,12:22:00,12:30:00,12:38:00,12:46:00,12:54:00,13:02:00,13:10:00,13:18:00,13:26:00,13:34:00,13:42:00,13:50:00,13:58:00,14:06:00,14:14:00,14:22:00,14:30:00,14:38:00,14:46:00,14:54:00,15:02:00,15:10:00,15:18:00,15:26:00,15:34:00,15:42:00,15:50:00,15:58:00,16:06:00,16:14:00,16:22:00,16:30:00,16:38:00,16:46:00,16:53:00,16:59:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:26:00,18:33:00,18:40:00,18:48:00,18:56:00,19:04:00,19:12:00,19:20:00,19:28:00,19:36:00,19:44:00,19:52:00,20:00:00,20:08:00,20:16:00,20:24:00,20:32:00,20:40:00,20:48:00,20:56:00,21:04:00,21:12:00,21:20:00,21:28:00,21:36:00,21:44:00,21:52:00,22:00:00,22:08:00,22:16:00,22:25:00,22:34:00,22:44:00,22:54:00,23:05:00,23:16:10
화원,0,2,,5:27:45,5:41:15,5:53:15,6:04:15,6:14:15,6:24:15,6:33:15,6:42:15,6:50:15,6:57:15,7:03:15,7:09:15,7:15:15,7:20:15,7:25:15,7:30:15,7:35:15,7:40:15,7:45:15,7:50:15,7:55:15,8:00:15,8:05:15,8:10:15,8:15:15,8:20:15,8:25:15,8:30:15,8:35:15,8:40:15,8:45:15,8:50:15,8:55:15,9:00:15,9:06:15,9:13:15,9:20:15,9:28:15,9:36:15,9:44:15,9:52:15,10:00:15,10:08:15,10:16:15,10:24:15,10:32:15,10:40:15,10:48:15,10:56:15,11:04:15,11:12:15,11:20:15,11:28:15,11:36:15,11:44:15,11:52:15,12:00:15,12:08:15,12:16:15,12:24:15,12:32:15,12:40:15,12:48:15,12:56:15,13:04:15,13:12:15,13:20:15,13:28:15,13:36:15,13:44:15,13:52:15,14:00:15,14:08:15,14:16:15,14:24:15,14:32:15,14:40:15,14:48:15,14:56:15,15:04:15,15:12:15,15:20:15,15:28:15,15:36:15,15:44:15,15:52:15,16:00:15,16:08:15,16:16:15,16:24:15,16:32:15,16:40:15,16:48:15,16:55:15,17:01:15,17:07:15,17:12:15,17:17:15,17:22:15,17:27:15,17:32:15,17:37:15,17:42:15,17:47:15,17:52:15,17:57:15,18:02:15,18:07:15,18:12:15,18:17:15,18:22:15,18:28:15,18:35:15,18:42:15,18:50:15,18:58:15,19:06:15,19:14:15,19:22:15,19:30:15,19:38:15,19:46:15,19:54:15,20:02:15,20:10:15,20:18:15,20:26:15,20:34:15,20:42:15,20:50:15,20:58:15,21:06:15,21:14:15,21:22:15,21:30:15,21:38:15,21:46:15,21:54:15,22:02:15,22:10:15,22:18:15,22:27:15,22:36:15,22:46:15,22:56:15,23:07:15,23:18:25
대곡,0,2,,5:30:00,5:43:30,5:55:30,6:06:30,6:16:30,6:26:30,6:35:30,6:44:30,6:52:30,6:59:30,7:05:30,7:11:30,7:17:30,7:22:30,7:27:30,7:32:30,7:37:30,7:42:30,7:47:30,7:52:30,7:57:30,8:02:30,8:07:30,8:12:30,8:17:30,8:22:30,8:27:30,8:32:30,8:37:30,8:42:30,8:47:30,8:52:30,8:57:30,9:02:30,9:08:30,9:15:30,9:22:30,9:30:30,9:38:30,9:46:30,9:54:30,10:02:30,10:10:30,10:18:30,10:26:30,10:34:30,10:42:30,10:50:30,10:58:30,11:06:30,11:14:30,11:22:30,11:30:30,11:38:30,11:46:30,11:54:30,12:02:30,12:10:30,12:18:30,12:26:30,12:34:30,12:42:30,12:50:30,12:58:30,13:06:30,13:14:30,13:22:30,13:30:30,13:38:30,13:46:30,13:54:30,14:02:30,14:10:30,14:18:30,14:26:30,14:34:30,14:42:30,14:50:30,14:58:30,15:06:30,15:14:30,15:22:30,15:30:30,15:38:30,15:46:30,15:54:30,16:02:30,16:10:30,16:18:30,16:26:30,16:34:30,16:42:30,16:50:30,16:57:30,17:03:30,17:09:30,17:14:30,17:19:30,17:24:30,17:29:30,17:34:30,17:39:30,17:44:30,17:49:30,17:54:30,17:59:30,18:04:30,18:09:30,18:14:30,18:19:30,18:24:30,18:30:30,18:37:30,18:44:30,18:52:30,19:00:30,19:08:30,19:16:30,19:24:30,19:32:30,19:40:30,19:48:30,19:56:30,20:04:30,20:12:30,20:20:30,20:28:30,20:36:30,20:44:30,20:52:30,21:00:30,21:08:30,21:16:30,21:24:30,21:32:30,21:40:30,21:48:30,21:56:30,22:04:30,22:12:30,22:20:30,22:29:30,22:38:30,22:48:30,22:58:30,23:09:30,23:20:40
진천,0,2,,5:32:05,5:45:35,5:57:35,6:08:35,6:18:35,6:28:35,6:37:35,6:46:35,6:54:35,7:01:35,7:07:35,7:13:35,7:19:35,7:24:35,7:29:35,7:34:35,7:39:35,7:44:35,7:49:35,7:54:35,7:59:35,8:04:35,8:09:35,8:14:35,8:19:35,8:24:35,8:29:35,8:34:35,8:39:35,8:44:35,8:49:35,8:54:35,8:59:35,9:04:35,9:10:35,9:17:35,9:24:35,9:32:35,9:40:35,9:48:35,9:56:35,10:04:35,10:12:35,10:20:35,10:28:35,10:36:35,10:44:35,10:52:35,11:00:35,11:08:35,11:16:35,11:24:35,11:32:35,11:40:35,11:48:35,11:56:35,12:04:35,12:12:35,12:20:35,12:28:35,12:36:35,12:44:35,12:52:35,13:00:35,13:08:35,13:16:35,13:24:35,13:32:35,13:40:35,13:48:35,13:56:35,14:04:35,14:12:35,14:20:35,14:28:35,14:36:35,14:44:35,14:52:35,15:00:35,15:08:35,15:16:35,15:24:35,15:32:35,15:40:35,15:48:35,15:56:35,16:04:35,16:12:35,16:20:35,16:28:35,16:36:35,16:44:35,16:52:35,16:59:35,17:05:35,17:11:35,17:16:35,17:21:35,17:26:35,17:31:35,17:36:35,17:41:35,17:46:35,17:51:35,17:56:35,18:01:35,18:06:35,18:11:35,18:16:35,18:21:35,18:26:35,18:32:35,18:39:35,18:46:35,18:54:35,19:02:35,19:10:35,19:18:35,19:26:35,19:34:35,19:42:35,19:50:35,19:58:35,20:06:35,20:14:35,20:22:35,20:30:35,20:38:35,20:46:35,20:54:35,21:02:35,21:10:35,21:18:35,21:26:35,21:34:35,21:42:35,21:50:35,21:58:35,22:06:35,22:14:35,22:22:35,22:31:35,22:40:35,22:50:35,23:00:35,23:11:35,23:22:45
월배,0,2,,5:33:40,5:47:10,5:59:10,6:10:10,6:20:10,6:30:10,6:39:10,6:48:10,6:56:10,7:03:10,7:09:10,7:15:10,7:21:10,7:26:10,7:31:10,7:36:10,7:41:10,7:46:10,7:51:10,7:56:10,8:01:10,8:06:10,8:11:10,8:16:10,8:21:10,8:26:10,8:31:10,8:36:10,8:41:10,8:46:10,8:51:10,8:56:10,9:01:10,9:06:10,9:12:10,9:19:10,9:26:10,9:34:10,9:42:10,9:50:10,9:58:10,10:06:10,10:14:10,10:22:10,10:30:10,10:38:10,10:46:10,10:54:10,11:02:10,11:10:10,11:18:10,11:26:10,11:34:10,11:42:10,11:50:10,11:58:10,12:06:10,12:14:10,12:22:10,12:30:10,12:38:10,12:46:10,12:54:10,13:02:10,13:10:10,13:18:10,13:26:10,13:34:10,13:42:10,13:50:10,13:58:10,14:06:10,14:14:10,14:22:10,14:30:10,14:38:10,14:46:10,14:54:10,15:02:10,15:10:10,15:18:10,15:26:10,15:34:10,15:42:10,15:50:10,15:58:10,16:06:10,16:14:10,16:22:10,16:30:10,16:38:10,16:46:10,16:54:10,17:01:10,17:07:10,17:13:10,17:18:10,17:23:10,17:28:10,17:33:10,17:38:10,17:43:10,17:48:10,17:53:10,17:58:10,18:03:10,18:08:10,18:13:10,18:18:10,18:23:10,18:28:10,18:34:10,18:41:10,18:48:10,18:56:10,19:04:10,19:12:10,19:20:10,19:28:10,19:36:10,19:44:10,19:52:10,20:00:10,20:08:10,20:16:10,20:24:10,20:32:10,20:40:10,20:48:10,20:56:10,21:04:10,21:12:10,21:20:10,21:28:10,21:36:10,21:44:10,21:52:10,22:00:10,22:08:10,22:16:10,22:24:10,22:33:10,22:42:10,22:52:10,23:02:10,23:13:10,23:24:20
상인,0,2,,5:35:15,5:48:45,6:00:45,6:11:45,6:21:45,6:31:45,6:40:45,6:49:45,6:57:45,7:04:45,7:10:45,7:16:45,7:22:45,7:27:45,7:32:45,7:37:45,7:42:45,7:47:45,7:52:45,7:57:45,8:02:45,8:07:45,8:12:45,8:17:45,8:22:45,8:27:45,8:32:45,8:37:45,8:42:45,8:47:45,8:52:45,8:57:45,9:02:45,9:07:45,9:13:45,9:20:45,9:27:45,9:35:45,9:43:45,9:51:45,9:59:45,10:07:45,10:15:45,10:23:45,10:31:45,10:39:45,10:47:45,10:55:45,11:03:45,11:11:45,11:19:45,11:27:45,11:35:45,11:43:45,11:51:45,11:59:45,12:07:45,12:15:45,12:23:45,12:31:45,12:39:45,12:47:45,12:55:45,13:03:45,13:11:45,13:19:45,13:27:45,13:35:45,13:43:45,13:51:45,13:59:45,14:07:45,14:15:45,14:23:45,14:31:45,14:39:45,14:47:45,14:55:45,15:03:45,15:11:45,15:19:45,15:27:45,15:35:45,15:43:45,15:51:45,15:59:45,16:07:45,16:15:45,16:23:45,16:31:45,16:39:45,16:47:45,16:55:45,17:02:45,17:08:45,17:14:45,17:19:45,17:24:45,17:29:45,17:34:45,17:39:45,17:44:45,17:49:45,17:54:45,17:59:45,18:04:45,18:09:45,18:14:45,18:19:45,18:24:45,18:29:45,18:35:45,18:42:45,18:49:45,18:57:45,19:05:45,19:13:45,19:21:45,19:29:45,19:37:45,19:45:45,19:53:45,20:01:45,20:09:45,20:17:45,20:25:45,20:33:45,20:41:45,20:49:45,20:57:45,21:05:45,21:13:45,21:21:45,21:29:45,21:37:45,21:45:45,21:53:45,22:01:45,22:09:45,22:17:45,22:25:45,22:34:45,22:43:45,22:53:45,23:03:45,23:14:45,23:25:55
월촌,0,2,,5:37:00,5:50:30,6:02:30,6:13:30,6:23:30,6:33:30,6:42:30,6:51:30,6:59:30,7:06:30,7:12:30,7:18:30,7:24:30,7:29:30,7:34:30,7:39:30,7:44:30,7:49:30,7:54:30,7:59:30,8:04:30,8:09:30,8:14:30,8:19:30,8:24:30,8:29:30,8:34:30,8:39:30,8:44:30,8:49:30,8:54:30,8:59:30,9:04:30,9:09:30,9:15:30,9:22:30,9:29:30,9:37:30,9:45:30,9:53:30,10:01:30,10:09:30,10:17:30,10:25:30,10:33:30,10:41:30,10:49:30,10:57:30,11:05:30,11:13:30,11:21:30,11:29:30,11:37:30,11:45:30,11:53:30,12:01:30,12:09:30,12:17:30,12:25:30,12:33:30,12:41:30,12:49:30,12:57:30,13:05:30,13:13:30,13:21:30,13:29:30,13:37:30,13:45:30,13:53:30,14:01:30,14:09:30,14:17:30,14:25:30,14:33:30,14:41:30,14:49:30,14:57:30,15:05:30,15:13:30,15:21:30,15:29:30,15:37:30,15:45:30,15:53:30,16:01:30,16:09:30,16:17:30,16:25:30,16:33:30,16:41:30,16:49:30,16:57:30,17:04:30,17:10:30,17:16:30,17:21:30,17:26:30,17:31:30,17:36:30,17:41:30,17:46:30,17:51:30,17:56:30,18:01:30,18:06:30,18:11:30,18:16:30,18:21:30,18:26:30,18:31:30,18:37:30,18:44:30,18:51:30,18:59:30,19:07:30,19:15:30,19:23:30,19:31:30,19:39:30,19:47:30,19:55:30,20:03:30,20:11:30,20:19:30,20:27:30,20:35:30,20:43:30,20:51:30,20:59:30,21:07:30,21:15:30,21:23:30,21:31:30,21:39:30,21:47:30,21:55:30,22:03:30,22:11:30,22:19:30,22:27:30,22:36:30,22:45:30,22:55:30,23:05:30,23:16:30,23:27:40
송현,0,2,,5:38:45,5:52:15,6:04:15,6:15:15,6:25:15,6:35:15,6:44:15,6:53:15,7:01:15,7:08:15,7:14:15,7:20:15,7:26:15,7:31:15,7:36:15,7:41:15,7:46:15,7:51:15,7:56:15,8:01:15,8:06:15,8:11:15,8:16:15,8:21:15,8:26:15,8:31:15,8:36:15,8:41:15,8:46:15,8:51:15,8:56:15,9:01:15,9:06:15,9:11:15,9:17:15,9:24:15,9:31:15,9:39:15,9:47:15,9:55:15,10:03:15,10:11:15,10:19:15,10:27:15,10:35:15,10:43:15,10:51:15,10:59:15,11:07:15,11:15:15,11:23:15,11:31:15,11:39:15,11:47:15,11:55:15,12:03:15,12:11:15,12:19:15,12:27:15,12:35:15,12:43:15,12:51:15,12:59:15,13:07:15,13:15:15,13:23:15,13:31:15,13:39:15,13:47:15,13:55:15,14:03:15,14:11:15,14:19:15,14:27:15,14:35:15,14:43:15,14:51:15,14:59:15,15:07:15,15:15:15,15:23:15,15:31:15,15:39:15,15:47:15,15:55:15,16:03:15,16:11:15,16:19:15,16:27:15,16:35:15,16:43:15,16:51:15,16:59:15,17:06:15,17:12:15,17:18:15,17:23:15,17:28:15,17:33:15,17:38:15,17:43:15,17:48:15,17:53:15,17:58:15,18:03:15,18:08:15,18:13:15,18:18:15,18:23:15,18:28:15,18:33:15,18:39:15,18:46:15,18:53:15,19:01:15,19:09:15,19:17:15,19:25:15,19:33:15,19:41:15,19:49:15,19:57:15,20:05:15,20:13:15,20:21:15,20:29:15,20:37:15,20:45:15,20:53:15,21:01:15,21:09:15,21:17:15,21:25:15,21:33:15,21:41:15,21:49:15,21:57:15,22:05:15,22:13:15,22:21:15,22:29:15,22:38:15,22:47:15,22:57:15,23:07:15,23:18:15,23:29:25
서부정류장,0,2,,5:40:25,5:53:55,6:05:55,6:16:55,6:26:55,6:36:55,6:45:55,6:54:55,7:02:55,7:09:55,7:15:55,7:21:55,7:27:55,7:32:55,7:37:55,7:42:55,7:47:55,7:52:55,7:57:55,8:02:55,8:07:55,8:12:55,8:17:55,8:22:55,8:27:55,8:32:55,8:37:55,8:42:55,8:47:55,8:52:55,8:57:55,9:02:55,9:07:55,9:12:55,9:18:55,9:25:55,9:32:55,9:40:55,9:48:55,9:56:55,10:04:55,10:12:55,10:20:55,10:28:55,10:36:55,10:44:55,10:52:55,11:00:55,11:08:55,11:16:55,11:24:55,11:32:55,11:40:55,11:48:55,11:56:55,12:04:55,12:12:55,12:20:55,12:28:55,12:36:55,12:44:55,12:52:55,13:00:55,13:08:55,13:16:55,13:24:55,13:32:55,13:40:55,13:48:55,13:56:55,14:04:55,14:12:55,14:20:55,14:28:55,14:36:55,14:44:55,14:52:55,15:00:55,15:08:55,15:16:55,15:24:55,15:32:55,15:40:55,15:48:55,15:56:55,16:04:55,16:12:55,16:20:55,16:28:55,16:36:55,16:44:55,16:52:55,17:00:55,17:07:55,17:13:55,17:19:55,17:24:55,17:29:55,17:34:55,17:39:55,17:44:55,17:49:55,17:54:55,17:59:55,18:04:55,18:09:55,18:14:55,18:19:55,18:24:55,18:29:55,18:34:55,18:40:55,18:47:55,18:54:55,19:02:55,19:10:55,19:18:55,19:26:55,19:34:55,19:42:55,19:50:55,19:58:55,20:06:55,20:14:55,20:22:55,20:30:55,20:38:55,20:46:55,20:54:55,21:02:55,21:10:55,21:18:55,21:26:55,21:34:55,21:42:55,21:50:55,21:58:55,22:06:55,22:14:55,22:22:55,22:30:55,22:39:55,22:48:55,22:58:55,23:08:55,23:19:55,23:31:05
대명,0,2,,5:42:05,5:55:35,6:07:35,6:18:35,6:28:35,6:38:35,6:47:35,6:56:35,7:04:35,7:11:35,7:17:35,7:23:35,7:29:35,7:34:35,7:39:35,7:44:35,7:49:35,7:54:35,7:59:35,8:04:35,8:09:35,8:14:35,8:19:35,8:24:35,8:29:35,8:34:35,8:39:35,8:44:35,8:49:35,8:54:35,8:59:35,9:04:35,9:09:35,9:14:35,9:20:35,9:27:35,9:34:35,9:42:35,9:50:35,9:58:35,10:06:35,10:14:35,10:22:35,10:30:35,10:38:35,10:46:35,10:54:35,11:02:35,11:10:35,11:18:35,11:26:35,11:34:35,11:42:35,11:50:35,11:58:35,12:06:35,12:14:35,12:22:35,12:30:35,12:38:35,12:46:35,12:54:35,13:02:35,13:10:35,13:18:35,13:26:35,13:34:35,13:42:35,13:50:35,13:58:35,14:06:35,14:14:35,14:22:35,14:30:35,14:38:35,14:46:35,14:54:35,15:02:35,15:10:35,15:18:35,15:26:35,15:34:35,15:42:35,15:50:35,15:58:35,16:06:35,16:14:35,16:22:35,16:30:35,16:38:35,16:46:35,16:54:35,17:02:35,17:09:35,17:15:35,17:21:35,17:26:35,17:31:35,17:36:35,17:41:35,17:46:35,17:51:35,17:56:35,18:01:35,18:06:35,18:11:35,18:16:35,18:21:35,18:26:35,18:31:35,18:36:35,18:42:35,18:49:35,18:56:35,19:04:35,19:12:35,19:20:35,19:28:35,19:36:35,19:44:35,19:52:35,20:00:35,20:08:35,20:16:35,20:24:35,20:32:35,20:40:35,20:48:35,20:56:35,21:04:35,21:12:35,21:20:35,21:28:35,21:36:35,21:44:35,21:52:35,22:00:35,22:08:35,22:16:35,22:24:35,22:32:35,22:41:35,22:50:35,23:00:35,23:10:35,23:21:35,23:32:45
