역명,환승,소요시간,1002,1004,1006,1008,1010,1012,1014,1016,1018,1020,1022,1024,1026,1028,1030,1032,1034,1036,1038,1040,1042,1044,1046,1048,1050,1052,1054,1056,1058,1060,1062,1064,1066,1068,1070,1072,1074,1076,1078,1080,1082,1084,1086,1088,1090,1092,1094,1096,1098,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122,1124,1126,1128,1130,1132,1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1162,1164,1166,1168,1170,1172,1174,1176,1178,1180,1182,1184,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204,1206,1208,1210,1212,1214,1216,1218,1220,1222,1224,1226,1228,1230,1232,1234,1236,1238,1240,1242,1244,1246,1248,1250,1252,1254,1256,1258,1260,1262,1264,1266,1268,1270,1272,1274,1276,1278,1280,1282,1284,1286,1288,1290,1292,1294,1296
하양,0,3,,,5:30:00,,5:51:00,,6:10:00,,6:27:00,,6:43:00,,6:57:00,,7:11:00,,7:22:00,,7:32:00,,7:42:00,,7:52:00,,8:02:00,,8:12:00,,8:22:00,,8:32:00,,8:42:00,,8:52:00,,9:03:00,,9:15:00,,9:29:00,,9:45:00,,10:01:00,,10:17:00,,10:33:00,,10:49:00,,11:05:00,,11:21:00,,11:37:00,,11:53:00,,12:09:00,,12:25:00,,12:41:00,,12:57:00,,13:13:00,,13:29:00,,13:45:00,,14:01:00,,14:17:00,,14:33:00,,14:49:00,,15:05:00,,15:21:00,,15:37:00,,15:53:00,,16:09:00,,16:25:00,,16:41:00,,16:55:00,,17:06:00,,17:16:00,,17:26:00,,17:36:00,,17:46:00,,17:56:00,,18:06:00,,18:16:00,,18:28:00,,18:43:00,,18:59:00,,19:15:00,,19:31:00,,19:47:00,,20:03:00,,20:19:00,,20:35:00,,20:51:00,,21:07:00,,21:23:00,,21:39:00,,21:55:00,,22:12:00,,22:33:00,22:45:00,22:57:30,23:11:20
부호,0,6,,,5:32:50,,5:53:50,,6:12:50,,6:29:50,,6:45:50,,6:59:50,,7:13:50,,7:24:50,,7:34:50,,7:44:50,,7:54:50,,8:04:50,,8:14:50,,8:24:50,,8:34:50,,8:44:50,,8:54:50,,9:05:50,,9:17:50,,9:31:50,,9:47:50,,10:03:50,,10:19:50,,10:35:50,,10:51:50,,11:07:50,,11:23:50,,11:39:50,,11:55:50,,12:11:50,,12:27:50,,12:43:50,,12:59:50,,13:15:50,,13:31:50,,13:47:50,,14:03:50,,14:19:50,,14:35:50,,14:51:50,,15:07:50,,15:23:50,,15:39:50,,15:55:50,,16:11:50,,16:27:50,,16:43:50,,16:57:50,,17:08:50,,17:18:50,,17:28:50,,17:38:50,,17:48:50,,17:58:50,,18:08:50,,18:18:50,,18:30:50,,18:45:50,,19:01:50,,19:17:50,,19:33:50,,19:49:50,,20:05:50,,20:21:50,,20:37:50,,20:53:50,,21:09:50,,21:25:50,,21:41:50,,21:57:50,,22:14:50,,22:35:50,22:47:50,23:00:20,23:14:10
대구한의대병원,0,3,,,5:39:15,,6:00:15,,6:19:15,,6:36:15,,6:52:15,,7:06:15,,7:20:15,,7:31:15,,7:41:15,,7:51:15,,8:01:15,,8:11:15,,8:21:15,,8:31:15,,8:41:15,,8:51:15,,9:01:15,,9:12:15,,9:24:15,,9:38:15,,9:54:15,,10:10:15,,10:26:15,,10:42:15,,10:58:15,,11:14:15,,11:30:15,,11:46:15,,12:02:15,,12:18:15,,12:34:15,,12:50:15,,13:06:15,,13:22:15,,13:38:15,,13:54:15,,14:10:15,,14:26:15,,14:42:15,,14:58:15,,15:14:15,,15:30:15,,15:46:15,,16:02:15,,16:18:15,,16:34:15,,16:50:15,,17:04:15,,17:15:15,,17:25:15,,17:35:15,,17:45:15,,17:55:15,,18:05:15,,18:15:15,,18:25:15,,18:37:15,,18:52:15,,19:08:15,,19:24:15,,19:40:15,,19:56:15,,20:12:15,,20:28:15,,20:44:15,,21:00:15,,21:16:15,,21:32:15,,21:48:15,,22:04:15,,22:21:15,,22:42:15,22:54:15,23:06:45,23:20:35
안심,0,2,,5:30:00,5:42:00,5:53:00,6:03:00,6:13:00,6:22:00,6:31:00,6:39:00,6:47:00,6:55:00,7:02:00,7:09:00,7:16:00,7:23:00,7:29:00,7:34:00,7:39:00,7:44:00,7:49:00,7:54:00,7:59:00,8:04:00,8:09:00,8:14:00,8:19:00,8:24:00,8:29:00,8:34:00,8:39:00,8:44:00,8:49:00,8:54:00,8:59:00,9:04:00,9:09:00,9:15:00,9:21:00,9:27:00,9:34:00,9:41:00,9:49:00,9:57:00,10:05:00,10:13:00,10:21:00,10:29:00,10:37:00,10:45:00,10:53:00,11:01:00,11:09:00,11:17:00,11:25:00,11:33:00,11:41:00,11:49:00,11:57:00,12:05:00,12:13:00,12:21:00,12:29:00,12:37:00,12:45:00,12:53:00,13:01:00,13:09:00,13:17:00,13:25:00,13:33:00,13:41:00,13:49:00,13:57:00,14:05:00,14:13:00,14:21:00,14:29:00,14:37:00,14:45:00,14:53:00,15:01:00,15:09:00,15:17:00,15:25:00,15:33:00,15:41:00,15:49:00,15:57:00,16:05:00,16:13:00,16:21:00,16:29:00,16:37:00,16:45:00,16:53:00,17:00:00,17:07:00,17:13:00,17:18:00,17:23:00,17:28:00,17:33:00,17:38:00,17:43:00,17:48:00,17:53:00,17:58:00,18:03:00,18:08:00,18:13:00,18:18:00,18:23:00,18:28:00,18:34:00,18:40:00,18:47:00,18:55:00,19:03:00,19:11:00,19:19:00,19:27:00,19:35:00,19:43:00,19:51:00,19:59:00,20:07:00,20:15:00,20:23:00,20:31:00,20:39:00,20:47:00,20:55:00,21:03:00,21:11:00,21:19:00,21:27:00,21:35:00,21:43:00,21:51:00,21:59:00,22:07:00,22:15:00,22:24:00,22:34:00,22:45:00,22:57:00,23:09:30,23:23:20
각산,0,2,,5:31:50,5:43:50,5:54:50,6:04:50,6:14:50,6:23:50,6:32:50,6:40:50,6:48:50,6:56:50,7:03:50,7:10:50,7:17:50,7:24:50,7:30:50,7:35:50,7:40:50,7:45:50,7:50:50,7:55:50,8:00:50,8:05:50,8:10:50,8:15:50,8:20:50,8:25:50,8:30:50,8:35:50,8:40:50,8:45:50,8:50:50,8:55:50,9:00:50,9:05:50,9:10:50,9:16:50,9:22:50,9:28:50,9:35:50,9:42:50,9:50:50,9:58:50,10:06:50,10:14:50,10:22:50,10:30:50,10:38:50,10:46:50,10:54:50,11:02:50,11:10:50,11:18:50,11:26:50,11:34:50,11:42:50,11:50:50,11:58:50,12:06:50,12:14:50,12:22:50,12:30:50,12:38:50,12:46:50,12:54:50,13:02:50,13:10:50,13:18:50,13:26:50,13:34:50,13:42:50,13:50:50,13:58:50,14:06:50,14:14:50,14:22:50,14:30:50,14:38:50,14:46:50,14:54:50,15:02:50,15:10:50,15:18:50,15:26:50,15:34:50,15:42:50,15:50:50,15:58:50,16:06:50,16:14:50,16:22:50,16:30:50,16:38:50,16:46:50,16:54:50,17:01:50,17:08:50,17:14:50,17:19:50,17:24:50,17:29:50,17:34:50,17:39:50,17:44:50,17:49:50,17:54:50,17:59:50,18:04:50,18:09:50,18:14:50,18:19:50,18:24:50,18:29:50,18:35:50,18:41:50,18:48:50,18:56:50,19:04:50,19:12:50,19:20:50,19:28:50,19:36:50,19:44:50,19:52:50,20:00:50,20:08:50,20:16:50,20:24:50,20:32:50,20:40:50,20:48:50,20:56:50,21:04:50,21:12:50,21:20:50,21:28:50,21:36:50,21:44:50,21:52:50,22:00:50,22:08:50,22:16:50,22:25:50,22:35:50,22:46:50,22:58:50,23:11:20,23:25:10
반야월,0,2,,5:33:35,5:45:35,5:56:35,6:06:35,6:16:35,6:25:35,6:34:35,6:42:35,6:50:35,6:58:35,7:05:35,7:12:35,7:19:35,7:26:35,7:32:35,7:37:35,7:42:35,7:47:35,7:52:35,7:57:35,8:02:35,8:07:35,8:12:35,8:17:35,8:22:35,8:27:35,8:32:35,8:37:35,8:42:35,8:47:35,8:52:35,8:57:35,9:02:35,9:07:35,9:12:35,9:18:35,9:24:35,9:30:35,9:37:35,9:44:35,9:52:35,10:00:35,10:08:35,10:16:35,10:24:35,10:32:35,10:40:35,10:48:35,10:56:35,11:04:35,11:12:35,11:20:35,11:28:35,11:36:35,11:44:35,11:52:35,12:00:35,12:08:35,12:16:35,12:24:35,12:32:35,12:40:35,12:48:35,12:56:35,13:04:35,13:12:35,13:20:35,13:28:35,13:36:35,13:44:35,13:52:35,14:00:35,14:08:35,14:16:35,14:24:35,14:32:35,14:40:35,14:48:35,14:56:35,15:04:35,15:12:35,15:20:35,15:28:35,15:36:35,15:44:35,15:52:35,16:00:35,16:08:35,16:16:35,16:24:35,16:32:35,16:40:35,16:48:35,16:56:35,17:03:35,17:10:35,17:16:35,17:21:35,17:26:35,17:31:35,17:36:35,17:41:35,17:46:35,17:51:35,17:56:35,18:01:35,18:06:35,18:11:35,18:16:35,18:21:35,18:26:35,18:31:35,18:37:35,18:43:35,18:50:35,18:58:35,19:06:35,19:14:35,19:22:35,19:30:35,19:38:35,19:46:35,19:54:35,20:02:35,20:10:35,20:18:35,20:26:35,20:34:35,20:42:35,20:50:35,20:58:35,21:06:35,21:14:35,21:22:35,21:30:35,21:38:35,21:46:35,21:54:35,22:02:35,22:10:35,22:18:35,22:27:35,22:37:35,22:48:35,23:00:35,23:13:05,23:26:55
신기,0,2,,5:35:25,5:47:25,5:58:25,6:08:25,6:18:25,6:27:25,6:36:25,6:44:25,6:52:25,7:00:25,7:07:25,7:14:25,7:21:25,7:28:25,7:34:25,7:39:25,7:44:25,7:49:25,7:54:25,7:59:25,8:04:25,8:09:25,8:14:25,8:19:25,8:24:25,8:29:25,8:34:25,8:39:25,8:44:25,8:49:25,8:54:25,8:59:25,9:04:25,9:09:25,9:14:25,9:20:25,9:26:25,9:32:25,9:39:25,9:46:25,9:54:25,10:02:25,10:10:25,10:18:25,10:26:25,10:34:25,10:42:25,10:50:25,10:58:25,11:06:25,11:14:25,11:22:25,11:30:25,11:38:25,11:46:25,11:54:25,12:02:25,12:10:25,12:18:25,12:26:25,12:34:25,12:42:25,12:50:25,12:58:25,13:06:25,13:14:25,13:22:25,13:30:25,13:38:25,13:46:25,13:54:25,14:02:25,14:10:25,14:18:25,14:26:25,14:34:25,14:42:25,14:50:25,14:58:25,15:06:25,15:14:25,15:22:25,15:30:25,15:38:25,15:46:25,15:54:25,16:02:25,16:10:25,16:18:25,16:26:25,16:34:25,16:42:25,16:50:25,16:58:25,17:05:25,17:12:25,17:18:25,17:23:25,17:28:25,17:33:25,17:38:25,17:43:25,17:48:25,17:53:25,17:58:25,18:03:25,18:08:25,18:13:25,18:18:25,18:23:25,18:28:25,18:33:25,18:39:25,18:45:25,18:52:25,19:00:25,19:08:25,19:16:25,19:24:25,19:32:25,19:40:25,19:48:25,19:56:25,20:04:25,20:12:25,20:20:25,20:28:25,20:36:25,20:44:25,20:52:25,21:00:25,21:08:25,21:16:25,21:24:25,21:32:25,21:40:25,21:48:25,21:56:25,22:04:25,22:12:25,22:20:25,22:29:25,22:39:25,22:50:25,23:02:25,23:14:55,23:28:45
율하,0,2,,5:37:15,5:49:15,6:00:15,6:10:15,6:20:15,6:29:15,6:38:15,6:46:15,6:54:15,7:02:15,7:09:15,7:16:15,7:23:15,7:30:15,7:36:15,7:41:15,7:46:15,7:51:15,7:56:15,8:01:15,8:06:15,8:11:15,8:16:15,8:21:15,8:26:15,8:31:15,8:36:15,8:41:15,8:46:15,8:51:15,8:56:15,9:01:15,9:06:15,9:11:15,9:16:15,9:22:15,9:28:15,9:34:15,9:41:15,9:48:15,9:56:15,10:04:15,10:12:15,10:20:15,10:28:15,10:36:15,10:44:15,10:52:15,11:00:15,11:08:15,11:16:15,11:24:15,11:32:15,11:40:15,11:48:15,11:56:15,12:04:15,12:12:15,12:20:15,12:28:15,12:36:15,12:44:15,12:52:15,13:00:15,13:08:15,13:16:15,13:24:15,13:32:15,13:40:15,13:48:15,13:56:15,14:04:15,14:12:15,14:20:15,14:28:15,14:36:15,14:44:15,14:52:15,15:00:15,15:08:15,15:16:15,15:24:15,15:32:15,15:40:15,15:48:15,15:56:15,16:04:15,16:12:15,16:20:15,16:28:15,16:36:15,16:44:15,16:52:15,17:00:15,17:07:15,17:14:15,17:20:15,17:25:15,17:30:15,17:35:15,17:40:15,17:45:15,17:50:15,17:55:15,18:00:15,18:05:15,18:10:15,18:15:15,18:20:15,18:25:15,18:30:15,18:35:15,18:41:15,18:47:15,18:54:15,19:02:15,19:10:15,19:18:15,19:26:15,19:34:15,19:42:15,19:50:15,19:58:15,20:06:15,20:14:15,20:22:15,20:30:15,20:38:15,20:46:15,20:54:15,21:02:15,21:10:15,21:18:15,21:26:15,21:34:15,21:42:15,21:50:15,21:58:15,22:06:15,22:14:15,22:22:15,22:31:15,22:41:15,22:52:15,23:04:15,23:16:45,23:30:35
용계,0,2,,5:39:20,5:51:20,6:02:20,6:12:20,6:22:20,6:31:20,6:40:20,6:48:20,6:56:20,7:04:20,7:11:20,7:18:20,7:25:20,7:32:20,7:38:20,7:43:20,7:48:20,7:53:20,7:58:20,8:03:20,8:08:20,8:13:20,8:18:20,8:23:20,8:28:20,8:33:20,8:38:20,8:43:20,8:48:20,8:53:20,8:58:20,9:03:20,9:08:20,9:13:20,9:18:20,9:24:20,9:30:20,9:36:20,9:43:20,9:50:20,9:58:20,10:06:20,10:14:20,10:22:20,10:30:20,10:38:20,10:46:20,10:54:20,11:02:20,11:10:20,11:18:20,11:26:20,11:34:20,11:42:20,11:50:20,11:58:20,12:06:20,12:14:20,12:22:20,12:30:20,12:38:20,12:46:20,12:54:20,13:02:20,13:10:20,13:18:20,13:26:20,13:34:20,13:42:20,13:50:20,13:58:20,14:06:20,14:14:20,14:22:20,14:30:20,14:38:20,14:46:20,14:54:20,15:02:20,15:10:20,15:18:20,15:26:20,15:34:20,15:42:20,15:50:20,15:58:20,16:06:20,16:14:20,16:22:20,16:30:20,16:38:20,16:46:20,16:54:20,17:02:20,17:09:20,17:16:20,17:22:20,17:27:20,17:32:20,17:37:20,17:42:20,17:47:20,17:52:20,17:57:20,18:02:20,18:07:20,18:12:20,18:17:20,18:22:20,18:27:20,18:32:20,18:37:20,18:43:20,18:49:20,18:56:20,19:04:20,19:12:20,19:20:20,19:28:20,19:36:20,19:44:20,19:52:20,20:00:20,20:08:20,20:16:20,20:24:20,20:32:20,20:40:20,20:48:20,20:56:20,21:04:20,21:12:20,21:20:20,21:28:20,21:36:20,21:44:20,21:52:20,22:00:20,22:08:20,22:16:20,22:24:20,22:33:20,22:43:20,22:54:20,23:06:20,23:18:50,23:32:40
방촌,0,2,5:30:00,5:41:10,5:53:10,6:04:10,6:14:10,6:24:10,6:33:10,6:42:10,6:50:10,6:58:10,7:06:10,7:13:10,7:20:10,7:27:10,7:34:10,7:40:10,7:45:10,7:50:10,7:55:10,8:00:10,8:05:10,8:10:10,8:15:10,8:20:10,8:25:10,8:30:10,8:35:10,8:40:10,8:45:10,8:50:10,8:55:10,9:00:10,9:05:10,9:10:10,9:15:10,9:20:10,9:26:10,9:32:10,9:38:10,9:45:10,9:52:10,10:00:10,10:08:10,10:16:10,10:24:10,10:32:10,10:40:10,10:48:10,10:56:10,11:04:10,11:12:10,11:20:10,11:28:10,11:36:10,11:44:10,11:52:10,12:00:10,12:08:10,12:16:10,12:24:10,12:32:10,12:40:10,12:48:10,12:56:10,13:04:10,13:12:10,13:20:10,13:28:10,13:36:10,13:44:10,13:52:10,14:00:10,14:08:10,14:16:10,14:24:10,14:32:10,14:40:10,14:48:10,14:56:10,15:04:10,15:12:10,15:20:10,15:28:10,15:36:10,15:44:10,15:52:10,16:00:10,16:08:10,16:16:10,16:24:10,16:32:10,16:40:10,16:48:10,16:56:10,17:04:10,17:11:10,17:18:10,17:24:10,17:29:10,17:34:10,17:39:10,17:44:10,17:49:10,17:54:10,17:59:10,18:04:10,18:09:10,18:14:10,18:19:10,18:24:10,18:29:10,18:34:10,18:39:10,18:45:10,18:51:10,18:58:10,19:06:10,19:14:10,19:22:10,19:30:10,19:38:10,19:46:10,19:54:10,20:02:10,20:10:10,20:18:10,20:26:10,20:34:10,20:42:10,20:50:10,20:58:10,21:06:10,21:14:10,21:22:10,21:30:10,21:38:10,21:46:10,21:54:10,22:02:10,22:10:10,22:18:10,22:26:10,22:35:10,22:45:10,22:56:10,23:08:10,23:20:40,23:34:30
